layer_name,parameter_group,parameter_count,delta_l2,relative_delta_l2,maximum_absolute_delta,seed,target_pdp,method,adaptation_blocks,adaptation_epochs,learning_rate,adaptation_optimizer
encoder_conv_1,shared,1536,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
encoder_conv_2,shared,98432,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
encoder_conv_3,shared,24640,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
encoder_conv_4,shared,386,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_conv_5,shared,291,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
estimated_channel,shared,4040,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_conv_1,particular,102656,0.07004734873771667,0.0061376566032726185,0.0028845295310020447,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res1_input,particular,163968,0.0595739483833313,0.004472420124375529,0.0015210527926683426,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res1_conv2,particular,82048,0.03571085259318352,0.0030151951690539605,0.0010852720588445663,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res2_input,shared,41024,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_conv_final,shared,6176,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
pred_logits_full,shared,97,0.0,0.0,0.0,2027,7,algorithm1_particular_adaptation,2048,20,0.01,SGD
