target_pdp,snr_db,method,seed_count,mean_ber,std_ber,min_ber,max_ber
6,0.0,algorithm1_particular_adaptation,3,0.36330827077229816,0.000402054383268052,0.3627405166625976,0.3636188507080078
6,2.0,algorithm1_particular_adaptation,3,0.3185895284016927,0.0010471576571511718,0.3171491622924804,0.3196077346801758
6,4.0,algorithm1_particular_adaptation,3,0.27179304758707673,0.00035514805365003164,0.2712936401367187,0.2720890045166015
6,6.0,algorithm1_particular_adaptation,3,0.22339693705240884,0.0011971195629519164,0.2222537994384765,0.2250499725341797
6,8.0,algorithm1_particular_adaptation,3,0.17901388804117838,0.0007031369155390014,0.1780757904052734,0.1797685623168945
6,10.0,algorithm1_particular_adaptation,3,0.1428429285685221,0.0005330856500564663,0.1421747207641601,0.1434793472290039
6,12.0,algorithm1_particular_adaptation,3,0.11478932698567702,0.00033217662769770523,0.1143875122070312,0.1152009963989257
6,14.0,algorithm1_particular_adaptation,3,0.09404150644938149,0.0007015856132278264,0.0934810638427734,0.0950307846069336
6,16.0,algorithm1_particular_adaptation,3,0.08036994934082024,0.0002825108925142169,0.0800113677978515,0.0807018280029296
6,18.0,algorithm1_particular_adaptation,3,0.07213942209879554,0.0003187482730537794,0.0717782974243164,0.0725536346435546
6,20.0,algorithm1_particular_adaptation,3,0.06714121500651037,0.00045612248516193346,0.0668115615844726,0.0677862167358398
6,0.0,joint_no_adaptation,3,0.3919385274251302,0.0007219318074659681,0.3909873962402344,0.392735481262207
6,2.0,joint_no_adaptation,3,0.35848363240559894,0.0012414796657580066,0.3570785522460937,0.3600978851318359
6,4.0,joint_no_adaptation,3,0.3221092224121094,0.0010796570480923486,0.3209857940673828,0.3235664367675781
6,6.0,joint_no_adaptation,3,0.2835226058959961,0.0003053823407798969,0.2831068038940429,0.2838315963745117
6,8.0,joint_no_adaptation,3,0.24828402201334634,0.0008903339612932747,0.2471637725830078,0.2493419647216797
6,10.0,joint_no_adaptation,3,0.21685218811035148,0.0005711391915003595,0.2163171768188476,0.2176437377929687
6,12.0,joint_no_adaptation,3,0.194066047668457,0.0004036878335960529,0.1935329437255859,0.1945095062255859
6,14.0,joint_no_adaptation,3,0.1746206283569336,0.00037279843443650986,0.1741046905517578,0.1749725341796875
6,16.0,joint_no_adaptation,3,0.16276836395263666,0.0007197821760139428,0.1619997024536132,0.1637306213378906
6,18.0,joint_no_adaptation,3,0.15392812093098954,0.0003670133413947214,0.1534948348999023,0.1543922424316406
6,20.0,joint_no_adaptation,3,0.15127754211425778,0.0003565322199022374,0.1509218215942382,0.1517648696899414
6,0.0,joint_particular_adaptation,3,0.3898375829060872,8.457585219478217e-05,0.3897409439086914,0.3899469375610351
6,2.0,joint_particular_adaptation,3,0.35442161560058594,0.0015576727860567145,0.3522710800170898,0.3559103012084961
6,4.0,joint_particular_adaptation,3,0.3177512486775716,0.001016366990345736,0.3169775009155273,0.3191871643066406
6,6.0,joint_particular_adaptation,3,0.27887948354085285,0.0010421411334301351,0.2779684066772461,0.2803382873535156
6,8.0,joint_particular_adaptation,3,0.24278259277343747,0.00021676886446674826,0.2425031661987304,0.2430315017700195
6,10.0,joint_particular_adaptation,3,0.21168740590413407,0.0006949541648950587,0.2111454010009765,0.2126684188842773
6,12.0,joint_particular_adaptation,3,0.18867778778076172,0.0001526256355649692,0.1885395050048828,0.1888904571533203
6,14.0,joint_particular_adaptation,3,0.1697206497192382,0.0006036409385035875,0.1689023971557617,0.1703405380249023
6,16.0,joint_particular_adaptation,3,0.15744781494140622,0.0005645386795744192,0.1567554473876953,0.1581382751464843
6,18.0,joint_particular_adaptation,3,0.14930248260498044,0.0003729252742404408,0.1490354537963867,0.1498298645019531
6,20.0,joint_particular_adaptation,3,0.14666239420572913,0.0004713591519705633,0.1460742950439453,0.1472282409667968
7,0.0,algorithm1_particular_adaptation,3,0.3625914255777995,0.000685539650214798,0.3618488311767578,0.3635025024414062
7,2.0,algorithm1_particular_adaptation,3,0.31739648183186847,0.001078539270182832,0.3160848617553711,0.3187265396118164
7,4.0,algorithm1_particular_adaptation,3,0.2692467371622721,0.0005920985555489571,0.268437385559082,0.2698373794555664
