layer_name,parameter_group,parameter_count,delta_l2,relative_delta_l2,maximum_absolute_delta,seed,target_pdp,support_size,method
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
decoder_conv_1,particular,102656,0.09672684967517853,0.008478954157339185,0.0024184659123420715,2026,6,64,joint_particular_adaptation
decoder_res1_input,particular,163968,0.10468332469463348,0.007861287980298998,0.0019766241312026978,2026,6,64,joint_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
decoder_res1_conv2,particular,82048,0.14238868653774261,0.012025801092575884,0.003564603626728058,2026,6,64,joint_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
pred_logits_full,shared,97,0.0,0.0,0.0,2026,6,64,joint_particular_adaptation
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
decoder_conv_1,particular,102656,0.2536218762397766,0.02222283234644124,0.007804699242115021,2026,6,64,algorithm1_particular_adaptation
decoder_res1_input,particular,163968,0.5592809915542603,0.04198727577438808,0.007522958796471357,2026,6,64,algorithm1_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
decoder_res1_conv2,particular,82048,0.7569076418876648,0.06390854113585165,0.028565775603055954,2026,6,64,algorithm1_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
pred_logits_full,shared,97,0.0,0.0,0.0,2026,6,64,algorithm1_particular_adaptation
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
decoder_conv_1,particular,102656,0.05209445580840111,0.004566534567540176,0.001226533204317093,2026,6,128,joint_particular_adaptation
decoder_res1_input,particular,163968,0.060282476246356964,0.004526966518502635,0.001508869230747223,2026,6,128,joint_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
decoder_res1_conv2,particular,82048,0.0863298550248146,0.007291208944498156,0.002425774931907654,2026,6,128,joint_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,6,128,joint_particular_adaptation
