pair,source_pdp,target_pdp,strategy,num_seeds,trainable_parameters,mean_target_ber_after,std_target_ber_after,mean_target_improvement,std_target_improvement,mean_source_ber_change,std_source_ber_change,strategy_display,source_matched_ber_task2,cross_ber_task2,no_adaptation_ber_task4,task4_minus_task2_cross_ber,target_oracle_ber,oracle_gap,absolute_target_improvement_recomputed,relative_target_improvement,oracle_recovery_ratio,trainable_parameter_fraction,improvement_per_100k_parameters,is_transfer_strategy,valid_transfer_recovery_metric,summary_file,target_ber_rank,target_improvement_rank,source_retention_rank,partial_strategy_target_rank
PDP0_to_PDP4,0,4,channel_extractor,3,177295,0.2825540669759114,0.0009777547512288,0.0002926127115885,0.0006647909133721,0.0432787068684895,0.0004915635020456,Channel extractor,0.04647217,0.28247935,0.2828466796875,0.0003673296874999732,0.06914063,0.2137060496875,0.00029261271158859126,0.0010345276526204272,0.0013692298931942994,0.2180208607455466,0.00016504284474384007,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,3.0,3.0,5.0,2.0
PDP0_to_PDP4,0,4,decoder_conv1,3,102656,0.2492774963378906,0.0006444273669882,0.0335691833496093,0.0005179209743232,0.0375885518391927,0.0003745860958888,Decoder Conv1,0.04647217,0.28247935,0.2828466796875,0.0003673296874999732,0.06914063,0.2137060496875,0.0335691833496094,0.11868332124915851,0.1570811093026952,0.12623677757801874,0.032700653979903176,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,2.0,2.0,4.0,1.0
PDP0_to_PDP4,0,4,dense_head,3,44940,0.2872213745117187,0.0009443610680124,-0.0043746948242187,0.000521919803602,0.0360969034830729,0.0005125410741075,Dense head,0.04647217,0.28247935,0.2828466796875,0.0003673296874999732,0.06914063,0.2137060496875,-0.004374694824218706,-0.015466664940355809,-0.020470617610571968,0.055263021979778705,-0.009734523418377182,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,5.0,5.0,3.0,3.0
PDP0_to_PDP4,0,4,full_finetune,3,813202,0.2031791178385416,0.0010490323744846,0.0796675618489583,0.0007486463318206,0.0516759745279947,0.0017965609424601,Full fine-tune,0.04647217,0.28247935,0.2828466796875,0.0003673296874999732,0.06914063,0.2137060496875,0.0796675618489584,0.2816634154481793,0.3727903911258263,1.0,0.009796773968701307,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,1.0,1.0,6.0,
PDP0_to_PDP4,0,4,no_adaptation,3,0,0.2828466796875,0.0004403025841273,0.0,0.0,0.0,0.0,No adaptation,0.04647217,0.28247935,0.2828466796875,0.0003673296874999732,0.06914063,0.2137060496875,0.0,0.0,0.0,0.0,,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,4.0,4.0,2.0,
PDP0_to_PDP4,0,4,scratch,3,813202,0.301117197672526,0.0019650374620244,0.19935546875,0.0012487766493305,-0.0771222432454427,0.0034042845579611,Scratch,0.04647217,0.28247935,0.2828466796875,0.0003673296874999732,0.06914063,0.2137060496875,-0.01827051798502599,-0.06459512978979272,-0.08549368635910293,1.0,-0.0022467379550254415,False,False,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,6.0,6.0,1.0,
PDP0_to_PDP2,0,2,channel_extractor,3,177295,0.2811144510904947,0.0011769019265522,0.0378815714518229,0.0005352227571097,0.0583187357584635,0.0035281681320876,Channel extractor,0.04647217,0.31871185,0.3189960225423177,0.0002841725423176622,0.05220947,0.2667865525423177,0.03788157145182297,0.11875248835366792,0.14199205728637387,0.2180208607455466,0.021366407090906665,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP2/blocks2048__epochs20__lr0.0001/summary.csv,3.0,3.0,5.0,2.0
PDP0_to_PDP2,0,2,decoder_conv1,3,102656,0.2445683288574218,0.0006590482969379,0.0744276936848958,0.0003164519941166,0.0571173604329427,0.0008167378749849,Decoder Conv1,0.04647217,0.31871185,0.3189960225423177,0.0002841725423176622,0.05220947,0.2667865525423177,0.07442769368489588,0.23331856332165515,0.2789784304180405,0.12623677757801874,0.07250203951536772,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP2/blocks2048__epochs20__lr0.0001/summary.csv,2.0,2.0,4.0,1.0
PDP0_to_PDP2,0,2,dense_head,3,44940,0.2984282938639322,0.0004678499335786,0.0205677286783854,0.0002558073222619,0.041038106282552,0.0002344169347388,Dense head,0.04647217,0.31871185,0.3189960225423177,0.0002841725423176622,0.05220947,0.2667865525423177,0.020567728678385466,0.0644764424160084,0.07709432309232682,0.055263021979778705,0.04576708651176116,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP2/blocks2048__epochs20__lr0.0001/summary.csv,4.0,4.0,3.0,3.0
PDP0_to_PDP2,0,2,full_finetune,3,813202,0.1768299357096354,0.001584878124127,0.1421660868326823,0.0020673631538167,0.1856389872233073,0.0081183054863815,Full fine-tune,0.04647217,0.31871185,0.3189960225423177,0.0002841725423176622,0.05220947,0.2667865525423177,0.14216608683268228,0.4456672710200412,0.5328832562133426,1.0,0.01748225986073353,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP2/blocks2048__epochs20__lr0.0001/summary.csv,1.0,1.0,6.0,
PDP0_to_PDP2,0,2,no_adaptation,3,0,0.3189960225423177,0.0006565269558007,0.0,0.0,0.0,0.0,No adaptation,0.04647217,0.31871185,0.3189960225423177,0.0002841725423176622,0.05220947,0.2667865525423177,0.0,0.0,0.0,0.0,,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP2/blocks2048__epochs20__lr0.0001/summary.csv,6.0,6.0,2.0,
PDP0_to_PDP2,0,2,scratch,3,813202,0.3035889689127604,0.0047568356486501,0.1963831075032552,0.0050308798741515,-0.0119714864095052,0.0038178328858863,Scratch,0.04647217,0.31871185,0.3189960225423177,0.0002841725423176622,0.05220947,0.2667865525423177,0.015407053629557299,0.04829857597209826,0.05775048810645518,1.0,0.0018946158063503653,False,False,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP0_to_PDP2/blocks2048__epochs20__lr0.0001/summary.csv,5.0,5.0,1.0,
PDP1_to_PDP4,1,4,channel_extractor,3,177295,0.1460106404622395,0.0005087467076518,0.0125471496582031,0.0001185690387228,0.0079780069986979,0.0005119262179494,Channel extractor,0.06507924,0.15771636,0.1585577901204427,0.0008414301204426877,0.06914063,0.08941716012044269,0.012547149658203194,0.07913297510435914,0.14032149579904454,0.2180208607455466,0.007076990134072136,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP1_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,3.0,3.0,4.0,2.0
PDP1_to_PDP4,1,4,decoder_conv1,3,102656,0.1338201395670573,0.0003517349248603,0.0247376505533854,9.971899813263996e-05,0.0090252685546874,0.0001811885309191,Decoder Conv1,0.06507924,0.15771636,0.1585577901204427,0.0008414301204426877,0.06914063,0.08941716012044269,0.024737650553385393,0.1560166204044237,0.27665439743405396,0.12623677757801874,0.024097617823980472,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP1_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,2.0,2.0,5.0,1.0
PDP1_to_PDP4,1,4,dense_head,3,44940,0.1516131591796874,0.0002779358584348,0.0069446309407552,0.0001736150044097,0.0052637227376302,9.98727473708952e-05,Dense head,0.06507924,0.15771636,0.1585577901204427,0.0008414301204426877,0.06914063,0.08941716012044269,0.006944630940755286,0.043798736949348556,0.07766552786289613,0.055263021979778705,0.015453117358155955,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP1_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,4.0,4.0,3.0,3.0
PDP1_to_PDP4,1,4,full_finetune,3,813202,0.1238589477539062,0.0003621322794854,0.0346988423665364,0.0006449333716214,0.0124948628743489,0.0002629194443887,Full fine-tune,0.06507924,0.15771636,0.1585577901204427,0.0008414301204426877,0.06914063,0.08941716012044269,0.03469884236653649,0.21884035051307646,0.38805574142365973,1.0,0.004266940116543797,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP1_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,1.0,1.0,6.0,
PDP1_to_PDP4,1,4,no_adaptation,3,0,0.1585577901204427,0.0004235409248445,0.0,0.0,0.0,0.0,No adaptation,0.06507924,0.15771636,0.1585577901204427,0.0008414301204426877,0.06914063,0.08941716012044269,0.0,0.0,0.0,0.0,,True,True,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP1_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,5.0,5.0,2.0,
PDP1_to_PDP4,1,4,scratch,3,813202,0.3010323588053385,0.0022663742623536,0.1994408162434896,0.0015361501329386,-0.0848492431640624,0.0089061768794404,Scratch,0.06507924,0.15771636,0.1585577901204427,0.0008414301204426877,0.06914063,0.08941716012044269,-0.14247456868489583,-0.8985655550362438,-1.5933694214062057,1.0,-0.01752019408276121,False,False,/mnt/d/IC/project/code/wireless_pdp_project/outputs/task4_adaptation/03_main_experiment/PDP1_to_PDP4/blocks2048__epochs20__lr0.0001/summary.csv,6.0,6.0,1.0,
