source_pdp,target_pdp,seed,strategy,adaptation_blocks,epochs,update_steps,learning_rate,ebno_linear,test_batches,requested_trainable_layers,actual_trainable_layers,trainable_parameters,frozen_parameters,total_parameters,trainable_percentage,source_ber_before,source_ber_after,target_ber_before,target_ber_after,target_absolute_improvement,target_relative_improvement,source_ber_change,changed_weight_tensors,restored_checkpoint,first_training_loss,last_training_loss,first_training_ber,last_training_ber
0,4,2026,no_adaptation,2048,0,0,0.0,20.0,100,,,0,813202,813202,0.0,0.04580841064453125,0.04580841064453125,0.2833131408691406,0.2833131408691406,0.0,0.0,0.0,0,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,,,,
0,4,2026,decoder_input_only,2048,20,80,0.0001,20.0,100,decoder_conv_1,decoder_conv_1,102656,710546,813202,12.623677757801875,0.04580841064453125,0.08364715576171874,0.2833131408691406,0.24949432373046876,0.03381881713867185,0.11936903821306478,0.037838745117187496,2,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9667495489120483,0.5438380241394043,0.280303955078125,0.2512969970703125
0,4,2026,decoder_residual_1_only,2048,20,80,0.0001,20.0,100,decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2,decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2,328064,485138,813202,40.34225198659128,0.04580841064453125,0.10709823608398437,0.2833131408691406,0.22990158081054687,0.05341156005859374,0.1885248241388986,0.061289825439453126,6,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9667495489120483,0.4787318706512451,0.280303955078125,0.232940673828125
0,4,2026,decoder_residual_2_only,2048,20,80,0.0001,20.0,100,decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2,decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2,73920,739282,813202,9.089992400412198,0.04580841064453125,0.10631332397460938,0.2833131408691406,0.2536491394042969,0.029664001464843714,0.10470393774832071,0.06050491333007813,6,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9667495489120483,0.5184254050254822,0.280303955078125,0.259857177734375
0,4,2026,decoder_output_head_only,2048,20,80,0.0001,20.0,100,decoder_conv_final; pred_logits_full,decoder_conv_final; pred_logits_full,6273,806929,813202,0.7713950531356293,0.04580841064453125,0.07578475952148438,0.2833131408691406,0.27935989379882814,0.003953247070312471,0.013953631159447118,0.029976348876953128,4,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9667495489120483,0.6112149357795715,0.280303955078125,0.28753662109375
0,4,2026,entire_decoder,2048,20,80,0.0001,20.0,100,decoder_conv_1; decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2; decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2; decoder_conv_final; pred_logits_full,decoder_conv_1; decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2; decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2; decoder_conv_final; pred_logits_full,510913,302289,813202,62.82731719794098,0.04580841064453125,0.1078350830078125,0.2833131408691406,0.22239273071289062,0.06092041015624999,0.21502853686687443,0.06202667236328125,18,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9667495489120483,0.46282774209976196,0.280303955078125,0.22412109375
0,4,2026,full_finetune,2048,20,80,0.0001,20.0,100,__ALL__,encoder_conv_1; encoder_conv_2; encoder_conv_3; encoder_conv_4; channel_est_conv_1; channel_est_conv_2; channel_est_conv_3; channel_est_conv_4; channel_est_conv_5; channel_est_dense_1; estimated_channel; decoder_conv_1; decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2; decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2; decoder_conv_final; pred_logits_full,813202,0,813202,100.0,0.04580841064453125,0.09928787231445313,0.2833131408691406,0.20385711669921874,0.07945602416992187,0.28045301367302894,0.05347946166992188,40,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9667495489120483,0.4238077998161316,0.280303955078125,0.20416259765625
0,4,2027,no_adaptation,2048,0,0,0.0,20.0,100,,,0,813202,813202,0.0,0.04601409912109375,0.04601409912109375,0.28275863647460936,0.28275863647460936,0.0,0.0,0.0,0,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,,,,
0,4,2027,decoder_input_only,2048,20,80,0.0001,20.0,100,decoder_conv_1,decoder_conv_1,102656,710546,813202,12.623677757801875,0.04601409912109375,0.08319137573242187,0.28275863647460936,0.24978530883789063,0.03297332763671873,0.11661298147361666,0.03717727661132812,2,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,1.0009324550628662,0.5286881327629089,0.284820556640625,0.245697021484375
0,4,2027,decoder_residual_1_only,2048,20,80,0.0001,20.0,100,decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2,decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2,328064,485138,813202,40.34225198659128,0.04601409912109375,0.10337188720703125,0.28275863647460936,0.23202896118164062,0.050729675292968734,0.17940981724009716,0.0573577880859375,6,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,1.0009324550628662,0.4727764427661896,0.284820556640625,0.2309112548828125
0,4,2027,decoder_residual_2_only,2048,20,80,0.0001,20.0,100,decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2,decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2,73920,739282,813202,9.089992400412198,0.04601409912109375,0.10229339599609374,0.28275863647460936,0.2527763366699219,0.029982299804687473,0.10603495680451044,0.056279296874999996,6,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,1.0009324550628662,0.5053512454032898,0.284820556640625,0.251922607421875
0,4,2027,decoder_output_head_only,2048,20,80,0.0001,20.0,100,decoder_conv_final; pred_logits_full,decoder_conv_final; pred_logits_full,6273,806929,813202,0.7713950531356293,0.04601409912109375,0.0741314697265625,0.28275863647460936,0.2781571960449219,0.0046014404296874645,0.01627338597702092,0.028117370605468747,4,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,1.0009324550628662,0.5903785824775696,0.284820556640625,0.27734375
0,4,2027,entire_decoder,2048,20,80,0.0001,20.0,100,decoder_conv_1; decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2; decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2; decoder_conv_final; pred_logits_full,decoder_conv_1; decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2; decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2; decoder_conv_final; pred_logits_full,510913,302289,813202,62.82731719794098,0.04601409912109375,0.10502777099609376,0.28275863647460936,0.22289276123046875,0.05986587524414061,0.211720766483171,0.05901367187500001,18,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,1.0009324550628662,0.45302891731262207,0.284820556640625,0.220245361328125
0,4,2027,full_finetune,2048,20,80,0.0001,20.0,100,__ALL__,encoder_conv_1; encoder_conv_2; encoder_conv_3; encoder_conv_4; channel_est_conv_1; channel_est_conv_2; channel_est_conv_3; channel_est_conv_4; channel_est_conv_5; channel_est_dense_1; estimated_channel; decoder_conv_1; decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2; decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2; decoder_conv_final; pred_logits_full,813202,0,813202,100.0,0.04601409912109375,0.09756271362304687,0.28275863647460936,0.20375457763671875,0.0790040588378906,0.2794045827314098,0.051548614501953124,40,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,1.0009324550628662,0.41426610946655273,0.284820556640625,0.19854736328125
0,4,2028,no_adaptation,2048,0,0,0.0,20.0,100,,,0,813202,813202,0.0,0.046024169921875,0.046024169921875,0.28244720458984374,0.28244720458984374,0.0,0.0,0.0,0,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,,,,
0,4,2028,decoder_input_only,2048,20,80,0.0001,20.0,100,decoder_conv_1,decoder_conv_1,102656,710546,813202,12.623677757801875,0.046024169921875,0.08378677368164063,0.28244720458984374,0.24854461669921876,0.033902587890624974,0.12003159294798717,0.03776260375976563,2,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9786320924758911,0.5267763733863831,0.2825164794921875,0.2432861328125
0,4,2028,decoder_residual_1_only,2048,20,80,0.0001,20.0,100,decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2,decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2,328064,485138,813202,40.34225198659128,0.046024169921875,0.10557998657226562,0.28244720458984374,0.22746246337890624,0.05498474121093749,0.1946726337432997,0.05955581665039063,6,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9786320924758911,0.4640590250492096,0.2825164794921875,0.224609375
0,4,2028,decoder_residual_2_only,2048,20,80,0.0001,20.0,100,decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2,decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2,73920,739282,813202,9.089992400412198,0.046024169921875,0.10219985961914063,0.28244720458984374,0.2521144104003906,0.030332794189453116,0.10739279304782266,0.056175689697265635,6,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9786320924758911,0.5062182545661926,0.2825164794921875,0.2497711181640625
0,4,2028,decoder_output_head_only,2048,20,80,0.0001,20.0,100,decoder_conv_final; pred_logits_full,decoder_conv_final; pred_logits_full,6273,806929,813202,0.7713950531356293,0.046024169921875,0.074730224609375,0.28244720458984374,0.2781556701660156,0.004291534423828125,0.015194111869721229,0.02870605468750001,4,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9786320924758911,0.587267279624939,0.2825164794921875,0.2730560302734375
0,4,2028,entire_decoder,2048,20,80,0.0001,20.0,100,decoder_conv_1; decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2; decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2; decoder_conv_final; pred_logits_full,decoder_conv_1; decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2; decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2; decoder_conv_final; pred_logits_full,510913,302289,813202,62.82731719794098,0.046024169921875,0.11114349365234374,0.28244720458984374,0.21740570068359374,0.06504150390624999,0.23027844796941835,0.06511932373046875,18,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9786320924758911,0.4434369206428528,0.2825164794921875,0.2138824462890625
0,4,2028,full_finetune,2048,20,80,0.0001,20.0,100,__ALL__,encoder_conv_1; encoder_conv_2; encoder_conv_3; encoder_conv_4; channel_est_conv_1; channel_est_conv_2; channel_est_conv_3; channel_est_conv_4; channel_est_conv_5; channel_est_dense_1; estimated_channel; decoder_conv_1; decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2; decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2; decoder_conv_final; pred_logits_full,813202,0,813202,100.0,0.046024169921875,0.09598175048828125,0.28244720458984374,0.20196502685546874,0.080482177734375,0.2849459170652701,0.04995758056640626,40,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9786320924758911,0.41364148259162903,0.2825164794921875,0.1956024169921875
