layer_index,layer_name,layer_type,parameter_count,has_parameters,is_decoder_parameter_layer,input_shape,output_shape
0,input_bits,InputLayer,0,False,False,unknown,"(None, 128, 1)"
1,encoder_conv_1,Conv1D,1536,True,False,"(None, 128, 1)","(None, 128, 256)"
2,encoder_conv_2,Conv1D,98432,True,False,"(None, 128, 256)","(None, 128, 128)"
3,encoder_conv_3,Conv1D,24640,True,False,"(None, 128, 128)","(None, 128, 64)"
4,encoder_conv_4,Conv1D,386,True,False,"(None, 128, 64)","(None, 128, 2)"
5,input_channel,InputLayer,0,False,False,unknown,"(None, 8, 2)"
6,input_noise_std,InputLayer,0,False,False,unknown,"(None, 1)"
7,wireless_channel,WirelessChannelLayer,0,False,False,unknown,"(None, 136, 2)"
8,channel_est_conv_1,Conv1D,2816,True,False,"(None, 136, 2)","(None, 136, 256)"
9,channel_est_conv_2,Conv1D,98432,True,False,"(None, 136, 256)","(None, 136, 128)"
10,channel_est_conv_3,Conv1D,24640,True,False,"(None, 136, 128)","(None, 136, 64)"
11,channel_est_conv_4,Conv1D,6176,True,False,"(None, 136, 64)","(None, 136, 32)"
12,channel_est_conv_5,Conv1D,291,True,False,"(None, 136, 32)","(None, 136, 3)"
13,channel_est_flatten,Reshape,0,False,False,"(None, 136, 3)","(None, 408)"
14,channel_est_dense_1,Dense,40900,True,False,"(None, 408)","(None, 100)"
15,estimated_channel,Dense,4040,True,False,"(None, 100)","(None, 40)"
16,bilinear_multiplication,BilinearMulLayer,0,False,False,unknown,"(None, 136, 80)"
17,decoder_conv_1,Conv1D,102656,True,True,"(None, 136, 80)","(None, 136, 256)"
18,decoder_res1_input,Conv1D,163968,True,True,"(None, 136, 256)","(None, 136, 128)"
19,decoder_res1_conv1,Conv1D,82048,True,True,"(None, 136, 128)","(None, 136, 128)"
20,decoder_res1_conv2,Conv1D,82048,True,True,"(None, 136, 128)","(None, 136, 128)"
21,decoder_res1_add,Add,0,False,False,unknown,"(None, 136, 128)"
22,decoder_res1_relu,Activation,0,False,False,"(None, 136, 128)","(None, 136, 128)"
23,decoder_res2_input,Conv1D,41024,True,True,"(None, 136, 128)","(None, 136, 64)"
24,decoder_res2_conv1,Conv1D,20544,True,True,"(None, 136, 64)","(None, 136, 64)"
25,decoder_res2_conv2,Conv1D,12352,True,True,"(None, 136, 64)","(None, 136, 64)"
26,decoder_res2_add,Add,0,False,False,unknown,"(None, 136, 64)"
27,decoder_res2_relu,Activation,0,False,False,"(None, 136, 64)","(None, 136, 64)"
28,decoder_conv_final,Conv1D,6176,True,True,"(None, 136, 64)","(None, 136, 32)"
29,pred_logits_full,Conv1D,97,True,True,"(None, 136, 32)","(None, 136, 1)"
30,pred_prob_full,Activation,0,False,False,"(None, 136, 1)","(None, 136, 1)"
31,pred_logits,Cropping1D,0,False,False,"(None, 136, 1)","(None, 128, 1)"
32,pred_prob,Cropping1D,0,False,False,"(None, 136, 1)","(None, 128, 1)"
